code_fase,name
290,ATHENEE COMMUNAL CHARLES JANSSENS                                                                                                                                                                                                                         
291,CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE                                                                                                                                                                                                               
317,ATHENEE ROYAL DE JETTE                                                                                                                                                                                                                                    
318,CENTRE SCOLAIRE DU SACRE-COEUR - Section Humanités                                                                                                                                                                                                        
319,COLLEGE SAINT-PIERRE                                                                                                                                                                                                                                      
326,ATHENEE ROYAL DE KOEKELBERG                                                                                                                                                                                                                               
327,INSTITUT DES URSULINES                                                                                                                                                                                                                                    
347,ATHENEE ROYAL SERGE CREUZ                                                                                                                                                                                                                                 
352,CAMPUS SAINT-JEAN
365,ATHENEE ROYAL VICTOR HORTA                                                                                                                                                                                                                                
366,INSTITUT DES FILLES DE MARIE
367,INSTITUT SAINT-JEAN-BAPTISTE DE LA SALLE                                                                                                                                                                                                                  
368,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
369,CENTRE COMMUNAL D'ENSEIGNEMENT TECHNIQUE PIERRE PAULUS                                                                                                                                                                                                    
388,CENTRE SCOLAIRE DES DAMES DE MARIE-HAECHT-PHILOMENE-LIMITE                                                                                                                                                                                                
390,LYCEE GUY CUDELL                                                                                                                                                                                                                                          
419,ATHENEE ROYAL ALFRED VERWEE                                                                                                                                                                                                                               
420,ATHENEE COMMUNAL FERNAND BLUM
421,LYCEE COMMUNAL EMILE MAX
422,CENTRE SCOLAIRE SAINTE-MARIE - LA SAGESSE                                                                                                                                                                                                                 
423,INSTITUT DE LA SAINTE-FAMILLE D'HELMET                                                                                                                                                                                                                    
425,COLLEGE ROI BAUDOUIN ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL                                                                                                                                                                                              
428,INSTITUT TECHN. CARDINAL MERCIER-NOTRE-DAME DU SACRE-COEUR                                                                                                                                                                                                
429,INSTITUT COMMUNAL TECHNIQUE FRANS FISCHER
432,INSTITUT SAINT-DOMINIQUE                                                                                                                                                                                                                                  
460,ATHENEE ROYAL D'UCCLE I                                                                                                                                                                                                                                   
462,ECOLE DECROLY
463,COLLEGE SAINT-PIERRE                                                                                                                                                                                                                                      
464,CENTRE D'ENSEIGNEMENT SECONDAIRE LIBRE NOTRE-DAME DES CHAMPS                                                                                                                                                                                              
465,ATHENEE ROYAL D'UCCLE II                                                                                                                                                                                                                                  
466,INSTITUT SAINT-VINCENT DE PAUL                                                                                                                                                                                                                            
480,ATHENEE GANENOU
492,COLLEGE SAINT-HUBERT                                                                                                                                                                                                                                      
493,ATHENEE ROYAL DE WATERMAEL-BOITSFORT                                                                                                                                                                                                                      
494,INSTITUT DE L'ASSOMPTION                                                                                                                                                                                                                                  
513,ATHENEE ROYAL WOLUWE-SAINT-LAMBERT                                                                                                                                                                                                                        
514,CENTRE SCOLAIRE DU SACRE-COEUR DE LINDTHOUT
515,COLLEGE DON BOSCO                                                                                                                                                                                                                                         
517,INSTITUT DES DAMES DE MARIE                                                                                                                                                                                                                               
519,INSTITUT DE LA PROVIDENCE
539,ATHENEE ROYAL CROMMELYNCK                                                                                                                                                                                                                                 
540,COLLEGE JEAN XXIII                                                                                                                                                                                                                                        
541,LYCEE MATER DEI
542,INSTITUT DON BOSCO                                                                                                                                                                                                                                        
543,CENTRE SCOLAIRE EDDY MERCKX                                                                                                                                                                                                                               
565,ATHENEE ROYAL RIVA-BELLA                                                                                                                                                                                                                                  
567,COLLEGE ARCHIEPISCOPAL CARDINAL MERCIER                                                                                                                                                                                                                   
568,INSTITUT DE LA VALLEE BAILLY (Enseignement général)                                                                                                                                                                                                       
569,INSTITUT D'ENSEIGNEMENT CARDINAL MERCIER                                                                                                                                                                                                                  
571,INSTITUT DE LA VALLEE BAILLY (Enseignement technique)                                                                                                                                                                                                     
576,CYCLE D'OBSERVATION AUTONOME CARDINAL MERCIER                                                                                                                                                                                                             
589,COLLEGE SAINT-ETIENNE                                                                                                                                                                                                                                     
591,INSTITUT TECHNIQUE PROVINCIAL
616,ATHENEE ROYAL JODOIGNE                                                                                                                                                                                                                                    
620,INSTITUT SAINT-ALBERT                                                                                                                                                                                                                                     
622,"C.E.P.E.S. CENTRE PROV. D'ENS. PRIM., SEC. ET PEDAGOG.                                                                                                                                                                                                    "
641,ATHENEE ROYAL NIVELLES
642,COLLEGE SAINTE-GERTRUDE                                                                                                                                                                                                                                   
644,INSTITUT DE L'ENFANT-JESUS LYCEE                                                                                                                                                                                                                          
645,INSTITUT PROVINCIAL DES ARTS ET METIERS                                                                                                                                                                                                                   
647,INSTITUT DU SACRE-COEUR                                                                                                                                                                                                                                   
648,INSTITUT PROVINCIAL D'ENSEIGNEMENT TECHNIQUE                                                                                                                                                                                                              
667,ATHENEE ROYAL DE RIXENSART                                                                                                                                                                                                                                
668,COLLEGE NOTRE-DAME DES TROIS VALLEES                                                                                                                                                                                                                      
679,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE                                                                                                                                                                                                             
680,COLLEGE SAINT-FRANCOIS D'ASSISE                                                                                                                                                                                                                           
692,ATHENEE ROYAL DE WATERLOO                                                                                                                                                                                                                                 
693,LYCEE DE BERLAYMONT                                                                                                                                                                                                                                       
694,INSTITUT D' ENSEIGNEMENT SECONDAIRE DES SACRES-COEURS
705,ATHENEE ROYAL MAURICE CAREME                                                                                                                                                                                                                              
707,COLLEGE NOTRE-DAME                                                                                                                                                                                                                                        
708,INSTITUT SAINT-JEAN-BAPTISTE                                                                                                                                                                                                                              
709,INSTITUT DE LA PROVIDENCE 2E ET 3E DEGRES                                                                                                                                                                                                                 
710,"ECOLE INTERNATIONALE ""LE VERSEAU"" - E.L.C.E.                                                                                                                                                                                                              "
712,COLLEGE TECHNIQUE SAINT-JEAN                                                                                                                                                                                                                              
713,INSTITUT DE LA PROVIDENCE (1ER DEGRE)                                                                                                                                                                                                                     
747,ATHENEE ROYAL PAUL DELVAUX                                                                                                                                                                                                                                
748,COLLEGE DU CHRIST-ROI                                                                                                                                                                                                                                     
749,LYCEE MARTIN V                                                                                                                                                                                                                                            
778,ATHENEE ROYAL ATH                                                                                                                                                                                                                                         
779,INSTITUT TECHNIQUE                                                                                                                                                                                                                                        
780,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE                                                                                                                                                                                                             
782,INSTITUT SAINT-FRANCOIS DE SALES                                                                                                                                                                                                                          
783,COLLEGE SAINT-JULIEN                                                                                                                                                                                                                                      
827,ATHENEE ROYAL LUCIENNE TELLIER                                                                                                                                                                                                                            
908,ATHENEE ROYAL VAUBAN                                                                                                                                                                                                                                      
909,ATHENEE ROYAL ERNEST SOLVAY                                                                                                                                                                                                                               
910,INSTITUT SAINT JOSEPH                                                                                                                                                                                                                                     
911,CENTRE SCOLAIRE DU SACRE-COEUR                                                                                                                                                                                                                            
912,INSTITUT NOTRE-DAME                                                                                                                                                                                                                                       
917,COLLEGE D'ENSEIGNEMENT TECHNIQUE DES AUMONIERS DU TRAVAIL                                                                                                                                                                                                 
920,INSTITUT D'ENSEIGNEMENT TECHNIQUE NOTRE-DAME                                                                                                                                                                                                              
921,INSTITUT SAINT-ANDRE                                                                                                                                                                                                                                      
923,UNIVERSITE DU TRAVAIL - INSTITUT D'ENSEIGNEMENT TECHNIQUE SECONDAIRE                                                                                                                                                                                      
926,UNIVERSITE DU TRAVAIL - INSTITUT JEAN JAURES                                                                                                                                                                                                              
932,ATHENEE ROYAL LES MARLAIRES                                                                                                                                                                                                                               
933,"INSTITUT DE LA PROVIDENCE,HUMANITES (G.P.H.)                                                                                                                                                                                                              "
934,COLLEGE SAINT-MICHEL                                                                                                                                                                                                                                      
936,INSTITUT SAINTE-ANNE                                                                                                                                                                                                                                      
940,ATHENEE ROYAL ORSINI DEWERPE                                                                                                                                                                                                                              
941,CENTRE SCOLAIRE SAINT-JOSEPH - NOTRE-DAME                                                                                                                                                                                                                 
945,ATHENEE ROYAL GILLY                                                                                                                                                                                                                                       
946,LYCEE MIXTE FRANCOIS DE SALES                                                                                                                                                                                                                             
950,ATHENEE ROYAL YVONNE VIESLET                                                                                                                                                                                                                              
954,ATHENEE ROYAL JULES DESTREE                                                                                                                                                                                                                               
963,CENTRE EDUCATIF COMMUNAL SECONDAIRE HENRI DUNANT                                                                                                                                                                                                          
967,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL LA SAMARITAINE                                                                                                                                                                                  
980,CENTRE EDUCATIF COMMUNAL SECONDAIRE DE COUILLET-MARCINELLE                                                                                                                                                                                                
983,"CENTRE EDUCATIF COMMUNAL SECONDAIRE ""LA GARENNE""                                                                                                                                                                                                          "
984,COLLEGE D'ENSEIGNEMENT PROFESSIONNEL DES AUMONIERS DU TRAVAIL                                                                                                                                                                                             
998,ATHENEE ROYAL PIERRE PAULUS                                                                                                                                                                                                                               
999,ATHENEE ROYAL RENE MAGRITTE                                                                                                                                                                                                                               
1000,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
1002,INSTITUT SAINT-JOSEPH
1004,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
1005,COLLEGE SAINT PIE X                                                                                                                                                                                                                                       
1045,ATHENEE ROYAL JOURDAN                                                                                                                                                                                                                                     
1046,INSTITUT NOTRE-DAME                                                                                                                                                                                                                                       
1057,ATHENEE ROYAL LOUIS DELATTRE                                                                                                                                                                                                                              
1058,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
1059,INSTITUT D'ENSEIGNEMENT TECHNIQUE SAINTE-MARIE
1072,INSTITUT NOTRE-DAME DE LOVERVAL                                                                                                                                                                                                                           
1073,COLLEGE SAINT-AUGUSTIN                                                                                                                                                                                                                                    
1080,INSTITUT SAINTE-THERESE                                                                                                                                                                                                                                   
1093,ATHENEE ROYAL PONT-A-CELLES                                                                                                                                                                                                                               
1106,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
1116,INSTITUT TECHNIQUE ET COMMERCIAL DES AUMONIERS DU TRAVAIL                                                                                                                                                                                                 
1120,I.E.S.C.A. INSTITUT D'ENSEIGNEMENT SECONDAIRE COMPLEMENTAIRE CATHOLIQUE                                                                                                                                                                                   
1121,LYCEE TECHNIQUE PROVINCIAL RICHARD STIEVENART                                                                                                                                                                                                             
1133,ATHENEE ROYAL DOUR                                                                                                                                                                                                                                        
1134,INSTITUT LA SAINTE-UNION                                                                                                                                                                                                                                  
1145,INSTITUT DU SACRE-COEUR                                                                                                                                                                                                                                   
1192,ATHENEE ROYAL MONS I                                                                                                                                                                                                                                      
1193,ATHENEE ROYAL MARGUERITE BERVOETS                                                                                                                                                                                                                         
1194,INSTITUT SAINT-FERDINAND                                                                                                                                                                                                                                  
1199,CENTRE SCOLAIRE SAINT-STANISLAS                                                                                                                                                                                                                           
1203,INSTITUT DE LA SAINTE-FAMILLE                                                                                                                                                                                                                             
1204,INSTITUT TECHNIQUE SAINT-LUC                                                                                                                                                                                                                              
1205,ECOLE DU FUTUR
1206,ACADEMIE PROVINCIALE DES METIERS
1207,INSTITUT TECHNIQUE DES URSULINES                                                                                                                                                                                                                          
1211,INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL                                                                                                                                                                                                 
1229,ATHENEE PROVINCIAL JEAN D'AVESNES                                                                                                                                                                                                                         
1230,INSTITUT SAINT-LUC                                                                                                                                                                                                                                        
1231,INSTITUT DU SACRE COEUR - ENSEIGNEMENT SECONDAIRE GENERAL                                                                                                                                                                                                 
1243,INSTITUT COMMUNAL D'ENSEIGNEMENT SECONDAIRE                                                                                                                                                                                                               
1250,ATHENEE ROYAL DE QUIEVRAIN                                                                                                                                                                                                                                
1251,CENTRE SCOLAIRE DON BOSCO                                                                                                                                                                                                                                 
1264,ATHENEE ROYAL SAINT-GHISLAIN                                                                                                                                                                                                                              
1265,LYCEE DE LA COMMUNAUTE FRANCAISE CHARLES PLISNIER                                                                                                                                                                                                         
1266,COLLEGE SAINTE-MARIE                                                                                                                                                                                                                                      
1267,LYCEE PROVINCIAL D'ENSEIGNEMENT TECHNIQUE DU HAINAUT                                                                                                                                                                                                      
1269,INSTITUT SAINT-JOSEPH                                                                                                                                                                                                                                     
1286,LYCEE PROVINCIAL ALBERT LIBIEZ                                                                                                                                                                                                                            
1309,ATHENEE ROYAL FERNAND JACQUEMIN                                                                                                                                                                                                                           
1311,INSTITUT NOTRE DAME                                                                                                                                                                                                                                       
1312,INSTITUT SAINT-HENRI                                                                                                                                                                                                                                      
1315,COLLEGE TECHNIQUE SAINT-JOSEPH                                                                                                                                                                                                                            
